T=0.045
r|2.0|0.1067236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0800427,0.020010674,0.1521987,0.18509535,0.15932341,0.1455285,0.0,0.0,0.0,0.020010674,0.20646948,0.22071888,0.22071888,0.17357282,0.0,0.0,0.0,0.0,0.13704033,0.22071888,0.22071888,0.083678536,0.0,0.0,0.0,0.0,0.16372123,0.22071888,0.22071888,0.10505266,0.0,0.0,0.0,0.02713538,0.19222006,0.22071888,0.22071888,0.17311835,0.007124705,0.0,0.0,0.10854152,0.22071888,0.22071888,0.22071888,0.22071888,0.05699764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0533618,0.01334045,0.040475827,0.035169043,0.05427076,0.0266809,0.0,0.0,0.0,0.01334045,0.02849882,0.0,0.0,0.020010674,0.0,0.0,0.0,0.0,0.020919634,0.0,0.0,0.0266809,0.0,0.0,0.0,0.0,0.0266809,0.0,0.0,0.021374116,0.0,0.0,0.0,0.01379493,0.041839268,0.05517972,0.048509493,0.05427076,0.0,0.0,0.0,0.0266809,0.0,0.0,0.0,0.0,0.02849882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5140532,0.3087886,0.73023057,0.06058105|0.5140532
n|2.0|0.0,0.0,0.078892715,0.13103017,0.0,0.0,0.0,0.0,0.0,0.0,0.14449361,0.20331988,0.15075335,0.026154544,0.0,0.0,0.0,0.03953217,0.20992288,0.20992288,0.20992288,0.17699371,0.0065171826,0.0,0.0,0.17725116,0.20992288,0.19028552,0.20992288,0.20992288,0.039103094,0.0,0.0,0.07880689,0.078721076,0.18376833,0.20992288,0.20992288,0.039103094,0.0,0.0,0.006602998,0.1510108,0.20992288,0.20992288,0.19671689,0.03918891,0.0,0.0,0.06577253,0.20992288,0.20992288,0.20992288,0.20992288,0.11791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02606873,0.07854945,0.0,0.0,0.0,0.0,0.0,0.0,0.059083715,0.019723179,0.019637363,0.0065171826,0.0,0.0,0.0,0.026326176,0.013034365,0.0,0.0,0.019723179,0.0065171826,0.0,0.0,0.032757543,0.0,0.03284336,0.0,0.0,0.013034365,0.0,0.0,0.01312018,0.019637363,0.039274726,0.0,0.0,0.013034365,0.0,0.0,0.0,0.04579191,0.04596354,0.05248072,0.03284336,0.03918891,0.0,0.0,0.045877725,0.0065171826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57544374,0.31768832,0.73023057,0.052636765|0.57544374
b|2.0|0.0,0.0,0.0,0.20222718,0.087305605,0.0,0.0,0.0,0.0,0.0,0.014476639,0.2169267,0.079732955,0.0,0.0,0.0,0.0,0.0,0.16614702,0.1884192,0.18775053,0.08708272,0.0,0.0,0.0,0.021380628,0.23162623,0.16681568,0.2169267,0.16659279,0.0,0.0,0.0,0.021380628,0.23162623,0.23162623,0.23162623,0.16659279,0.0,0.0,0.0,0.02873039,0.20245007,0.23162623,0.23162623,0.15211615,0.0,0.0,0.0,0.1443206,0.23162623,0.23162623,0.23162623,0.23162623,0.050779678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029399052,0.0,0.0,0.0,0.0,0.0,0.0,0.02873039,0.036303043,0.03608015,0.0,0.0,0.0,0.0,0.0,0.05835233,0.021603515,0.02873039,0.028953278,0.0,0.0,0.0,0.014253752,0.021826401,0.007126876,0.02204929,0.021380628,0.0,0.0,0.0,0.014253752,0.007349763,0.0,0.0,0.02873039,0.0,0.0,0.0,0.021826401,0.036303043,0.057906557,0.050779678,0.04320703,0.007349763,0.0,0.0,0.028507505,0.0,0.0,0.0,0.0,0.021380628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477071,0.31004506,0.73163295,0.06435579|0.477071
q|1.0|0.0,0.0,0.14530784,0.0968719,0.14530784,0.0968719,0.0,0.0,0.0,0.024217974,0.13319886,0.13319886,0.18163481,0.08476291,0.024217974,0.0,0.1937438,0.1937438,0.10898089,0.14530784,0.18163481,0.10898089,0.1937438,0.0,0.0,0.14530784,0.18163481,0.1937438,0.1937438,0.18163481,0.0968719,0.0,0.0,0.04843595,0.1937438,0.1937438,0.1937438,0.1937438,0.012108987,0.0,0.0,0.012108987,0.1937438,0.1937438,0.1937438,0.15741684,0.0,0.0,0.0,0.0968719,0.1937438,0.1937438,0.1937438,0.1937438,0.04843595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0968719,0.04843595,0.0,0.0,0.0,0.024217974,0.024217974,0.03632696,0.012108987,0.0,0.024217974,0.0,0.14530784,0.012108987,0.012108987,0.024217974,0.012108987,0.060544934,0.012108987,0.0,0.0,0.012108987,0.0,0.0,0.0,0.0,0.012108987,0.0,0.0,0.024217974,0.0,0.0,0.0,0.012108987,0.012108987,0.0,0.0,0.024217974,0.024217974,0.04843595,0.04843595,0.012108987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6331361,0.29354623,0.53310037,0.08941292|0.6331361
k|1.0|0.0,0.0,0.045874093,0.18349637,0.18349637,0.0,0.0,0.0,0.0,0.0,0.045874093,0.18349637,0.18349637,0.0,0.0,0.0,0.045874093,0.14909081,0.18349637,0.18349637,0.18349637,0.18349637,0.12615375,0.0,0.18349637,0.18349637,0.11468524,0.16055933,0.16055933,0.13762228,0.18349637,0.0,0.045874093,0.14909081,0.17202786,0.16055933,0.16055933,0.17202786,0.13762228,0.0,0.0,0.022937046,0.18349637,0.18349637,0.18349637,0.18349637,0.022937046,0.0,0.0,0.091748185,0.18349637,0.18349637,0.18349637,0.18349637,0.045874093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045874093,0.13762228,0.13762228,0.0,0.0,0.0,0.0,0.0,0.045874093,0.05734262,0.03440557,0.0,0.0,0.0,0.045874093,0.022937046,0.011468523,0.011468523,0.011468523,0.0,0.03440557,0.0,0.0,0.0,0.03440557,0.022937046,0.03440557,0.03440557,0.0,0.0,0.045874093,0.0,0.022937046,0.022937046,0.022937046,0.011468523,0.03440557,0.0,0.0,0.011468523,0.022937046,0.045874093,0.045874093,0.03440557,0.022937046,0.0,0.0,0.011468523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6627219,0.32849735,0.9245561,0.039656315|0.6627219
p|8.0|0.035028476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10801945,0.0704804,0.0,0.0,0.0,0.0,0.0,0.06173273,0.2821322,0.26442572,0.013230822,0.0,0.0,0.0,0.0,0.06610649,0.27994025,0.25558427,0.017539099,0.0,0.0,0.0,0.0,0.055130836,0.27109337,0.23577474,0.017577924,0.0,0.0,0.0,0.0044235606,0.15867849,0.2821322,0.27546215,0.09466633,0.0,0.0,0.0,0.061730593,0.2821322,0.2821322,0.2821322,0.26666,0.011040198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044235606,0.037328288,0.026364308,0.0,0.0,0.0,0.0,0.0,0.039768886,0.013183951,0.022100987,0.011040198,0.0,0.0,0.0,0.0,0.030810727,0.015347128,0.022089303,0.010972577,0.0,0.0,0.0,0.0,0.039619777,0.019694231,0.055108763,0.010963187,0.0,0.0,0.0,0.0044235606,0.05270751,0.006567868,0.013151913,0.033018224,0.0,0.0,0.0,0.0310027,0.010990635,0.0,0.0,0.019854471,0.011040198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33579886,0.3144398,0.7302307,0.053635947|0.33579886
P|8.0|0.027369028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02052677,0.0,0.0,0.02473329,0.0105869435,0.0,0.0,0.0,0.0,0.0,0.033597805,0.21421382,0.19287354,0.0052929563,0.0,0.0,0.0,0.0,0.038922444,0.22303319,0.19640538,0.003525366,0.0,0.0,0.0,0.0,0.067215525,0.21944207,0.20003852,0.022996496,0.0,0.0,0.0,0.0,0.065391965,0.21602094,0.19817379,0.03183878,0.0,0.0,0.0,0.037141737,0.22122821,0.22651136,0.22651136,0.18943417,0.003525366,0.0,0.0,0.06373525,0.22651136,0.22651136,0.22651136,0.21233359,0.014101464,0.0,0.027369028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006842257,0.0,0.0,0.01926641,0.010604467,0.0,0.0,0.0,0.0,0.0,0.021162879,0.03540973,0.051236525,0.0017577759,0.0,0.0,0.0,0.0,0.026479473,0.04064603,0.054685067,0.0017577759,0.0,0.0,0.0,0.0,0.031615756,0.015963834,0.03697024,0.015913904,0.0,0.0,0.0,0.0,0.040537354,0.01944815,0.03704988,0.02117644,0.0,0.0,0.0,0.022923972,0.021242743,0.0,0.0,0.047715932,0.0017577759,0.0,0.0,0.0424212,0.22651136,0.22651136,0.22651136,0.19808775,0.0070311036,0.0,0.32581362,0.7916343,0.73023057,0.035280306|0.32581362
R|2.0|0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005955758,0.075477496,0.07414136,0.06356598,0.07614556,0.0,0.0,0.0,0.023823032,0.18869373,0.2012733,0.18869373,0.17149451,0.0,0.0,0.0,0.005955758,0.14299503,0.2012733,0.19464949,0.10264085,0.0,0.0,0.0,0.0,0.13041544,0.2012733,0.18802565,0.09006127,0.0,0.0,0.0,0.0,0.15490654,0.2012733,0.2012733,0.10926467,0.0,0.0,0.0,0.0734733,0.19464949,0.2012733,0.2012733,0.18869373,0.064902104,0.050318327,0.0,0.09796439,0.09529213,0.09529213,0.09529213,0.09529213,0.10063665,0.09529213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005955758,0.019871471,0.050318327,0.050986394,0.03840681,0.0,0.0,0.0,0.017867275,0.03907488,0.025827229,0.011911516,0.032451052,0.0,0.0,0.0,0.0,0.05694215,0.031114921,0.025159163,0.032451052,0.0,0.0,0.0,0.0,0.025159163,0.0,0.0,0.026495295,0.0,0.0,0.0,0.0,0.07681362,0.050318327,0.050318327,0.050318327,0.0,0.0,0.0,0.025159163,0.012579582,0.0,0.0,0.01853534,0.03311912,0.023823032,0.0,0.07414136,0.2012733,0.2012733,0.2012733,0.2012733,0.05299059,0.0,0.48076922,0.80015796,0.7310643,0.031129636|0.48076922
N|2.0|0.0,0.0,0.024004225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07707892,0.13498616,0.052607294,0.0,0.0,0.0,0.0,0.01800317,0.17675985,0.18829456,0.17629245,0.1172167,0.0,0.0,0.0,0.11815151,0.18829456,0.18829456,0.18829456,0.18829456,0.023069415,0.0,0.0,0.14168833,0.13498616,0.13568728,0.18829456,0.1822935,0.023069415,0.0,0.0,0.0,0.08284628,0.18829456,0.1822935,0.1822935,0.017302062,0.0,0.0,0.024004225,0.17652616,0.18829456,0.18829456,0.1822935,0.09414728,0.04707364,0.0,0.024004225,0.09227766,0.09227766,0.09227766,0.09227766,0.16429034,0.0960169,0.0,0.0,0.024004225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01800317,0.023770522,0.023770522,0.0,0.0,0.0,0.0,0.012002112,0.029537877,0.02353682,0.006001056,0.052840993,0.0,0.0,0.0,0.04707364,0.005767354,0.035538934,0.005767354,0.029771578,0.011534708,0.0,0.04800845,0.070844166,0.053074695,0.035538934,0.005767354,0.024004225,0.023069415,0.0,0.0,0.0,0.059309456,0.052840993,0.04707364,0.053074695,0.0,0.0,0.0,0.024004225,0.017535765,0.0,0.0,0.01176841,0.029537877,0.0,0.0,0.04800845,0.18829456,0.18829456,0.18829456,0.18829456,0.09414728,0.0,0.5421598,0.82326514,0.73023057,0.028732467|0.5421598
B|2.0|0.0,0.0,0.0,0.1258132,0.026889881,0.0,0.0,0.0,0.0,0.0,0.0,0.17671423,0.058343183,0.0,0.0,0.0,0.0,0.0,0.08163464,0.18559575,0.12124978,0.019447727,0.0,0.0,0.0,0.012005572,0.19688164,0.13469473,0.17671423,0.1205301,0.0,0.0,0.0,0.024011144,0.2036041,0.18487605,0.2036041,0.13925815,0.0,0.0,0.0,0.0,0.16470864,0.2036041,0.19688164,0.09651895,0.0,0.0,0.0,0.08835711,0.19688164,0.2036041,0.2036041,0.19087885,0.032172985,0.07779091,0.0,0.09892332,0.09604458,0.09604458,0.09604458,0.09604458,0.07491217,0.2036041,0.0,0.0,0.0,0.07779091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0314533,0.03961514,0.0,0.0,0.0,0.0,0.0,0.037456084,0.038895454,0.04489824,0.013444941,0.0,0.0,0.0,0.0,0.026170198,0.030733615,0.058343183,0.032172985,0.0,0.0,0.0,0.0067224703,0.026889881,0.044178557,0.025450513,0.026170198,0.0,0.0,0.0,0.0,0.071068436,0.050901026,0.025450513,0.045617923,0.0,0.0,0.0,0.044178557,0.019447727,0.0,0.0,0.04489824,0.0067224703,0.0,0.0,0.09892332,0.2036041,0.2036041,0.2036041,0.2036041,0.0,0.0,0.44600594,0.80164087,0.73023057,0.034483824|0.44600594
